"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"IR3TIB","Short-term interest rates, Per cent per annum","DNK","Denmark","A","Annual","2000","2000","PC","Percentage","0","Units",,,4.997201,,
"IR3TIB","Short-term interest rates, Per cent per annum","DNK","Denmark","A","Annual","2001","2001","PC","Percentage","0","Units",,,4.702664,,
"IR3TIB","Short-term interest rates, Per cent per annum","DNK","Denmark","A","Annual","2002","2002","PC","Percentage","0","Units",,,3.543719,,
"IR3TIB","Short-term interest rates, Per cent per annum","DNK","Denmark","A","Annual","2003","2003","PC","Percentage","0","Units",,,2.423354,,
"IR3TIB","Short-term interest rates, Per cent per annum","DNK","Denmark","A","Annual","2004","2004","PC","Percentage","0","Units",,,2.195047,,
"IR3TIB","Short-term interest rates, Per cent per annum","DNK","Denmark","A","Annual","2005","2005","PC","Percentage","0","Units",,,2.224245,,
"IR3TIB","Short-term interest rates, Per cent per annum","DNK","Denmark","A","Annual","2006","2006","PC","Percentage","0","Units",,,3.180477,,
"IR3TIB","Short-term interest rates, Per cent per annum","DNK","Denmark","A","Annual","2007","2007","PC","Percentage","0","Units",,,4.441652,,
"IR3TIB","Short-term interest rates, Per cent per annum","DNK","Denmark","A","Annual","2008","2008","PC","Percentage","0","Units",,,5.262557,,
"IR3TIB","Short-term interest rates, Per cent per annum","DNK","Denmark","A","Annual","2009","2009","PC","Percentage","0","Units",,,2.499274,,
"IR3TIB","Short-term interest rates, Per cent per annum","DNK","Denmark","A","Annual","2010","2010","PC","Percentage","0","Units",,,1.248442,,
"IR3TIB","Short-term interest rates, Per cent per annum","DNK","Denmark","A","Annual","2011","2011","PC","Percentage","0","Units",,,1.383979,,
"IR3TIB","Short-term interest rates, Per cent per annum","DNK","Denmark","A","Annual","2012","2012","PC","Percentage","0","Units",,,0.6200195,,
"IR3TIB","Short-term interest rates, Per cent per annum","DNK","Denmark","A","Annual","2013","2013","PC","Percentage","0","Units",,,0.2713604,,
"IR3TIB","Short-term interest rates, Per cent per annum","DNK","Denmark","A","Annual","2014","2014","PC","Percentage","0","Units",,,0.3149578,,
"IR3TIB","Short-term interest rates, Per cent per annum","DNK","Denmark","A","Annual","2015","2015","PC","Percentage","0","Units",,,-0.1233188,,
"IR3TIB","Short-term interest rates, Per cent per annum","DNK","Denmark","A","Annual","2016","2016","PC","Percentage","0","Units",,,-0.1442461,,
"IR3TIB","Short-term interest rates, Per cent per annum","DNK","Denmark","A","Annual","2017","2017","PC","Percentage","0","Units",,,-0.2637579,,
"IR3TIB","Short-term interest rates, Per cent per annum","DNK","Denmark","A","Annual","2018","2018","PC","Percentage","0","Units",,,-0.2992443,,
"IR3TIB","Short-term interest rates, Per cent per annum","DNK","Denmark","A","Annual","2019","2019","PC","Percentage","0","Units",,,-0.3719969,,
"IR3TIB","Short-term interest rates, Per cent per annum","DNK","Denmark","A","Annual","2020","2020","PC","Percentage","0","Units",,,-0.2405625,,
"IR3TIB","Short-term interest rates, Per cent per annum","DNK","Denmark","A","Annual","2021","2021","PC","Percentage","0","Units",,,-0.2300674,,
